"","imdb_id","avg_num_of_attendees","num_of_shows","budget","genres","tmdb_popularity","release_date","revenue","runtime","languages","tmdb_rating","tmdb_votes","directors","writers","keywords","awards","metascore","imdb_rating","imdb_votes","tomato_critic_rating","tomato_user_rating","tomato_user_votes","tomato_critic_votes","tomato_fresh_reviews","tomato_rotten_reviews","tomato_user_meter","tomato_critic_meter","actors","name"
"559","tt0083929",31.625,1,4500000,"Comedy",0.581973,1982-08-13,27092880,90,"English",6.8,132,"Amy Heckerling","","sex,nudity,friendship,high school,shopping mall,bikini,bong,based on book,teacher,coming of age,marijuana,loss of virginity,drug humor,teen movie,rock 'n' roll,stoner,irreverence,teen comedy,dream sequence,convenience store,teenage pregnancy,woman director,abortion,surfer dude","1 win & 1 nomination.",67,7.2,"70,312",6.8,3.5,170109,49,38,11,80,78,"Sean Penn,Jennifer Jason Leigh,Judge Reinhold,Phoebe Cates,Brian Backer,Robert Romanus,Ray Walston,Scott Thomson,Vincent Schiavelli,Amanda Wyss,D.W. Brown,Forest Whitaker,Kelli Maroney,Tom Nolan,Blair Tefkin,Eric Stoltz,James Russo,Nicolas Cage,Anthony Edwards,Martin Brest,Taylor Negron","FAST TIMES AT RIDGEMONT HIGH"
"560","tt1109624",31.6875,7,55000000,"Comedy",1.026513,2014-11-27,259207227,95,"English",7.1,528,"Paul King","","england,train station,based on book,bear,anthropomorphic animal,talking to animals,children's book","Nominated for 1 BAFTA Film Award. Another 1 win & 4 nominations.",77,7.2,"48,169",7.9,4,48063,135,132,3,80,98,"Nicole Kidman,Peter Capaldi,Ben Whishaw,Michael Gambon,Imelda Staunton,Sally Hawkins,Julie Walters,Hugh Bonneville,Jim Broadbent,Matt Lucas,Matt King,Samuel Joslin,Daniel Westwood,Dominic Coleman,Simon Farnaby,Madeleine Harris,Tim Downie,Madeleine Worrall,Lottie Steer,Geoffrey Palmer,Theresa Watson,Michael Bond,Jude Wright,Kayvan Novak,Eddie Nestor,Iain Mitchell,Jonathan Derbyshire,Mary Roscoe,Llewella Gideon,Tarik Blake,Ross Boatman,Steve Oram,Tom Meeten,Alice Lowe,Will Smith,Toby Williams,Catherine Shepherd,Javier Marzan,Sean Bridgeman,Justin Edwards,Cleo Sylvestre,Gus Brown,Rufus Jones,Kenneth Hadley,David McKail,James Bachman,Steve Edge,Barry Ashton,Hamish MacColl,Lauren Barrand,Alexander Bracq,Ancuta Breaban,Asim Chaudhry,Bern Collaco,Faith Elizabeth,Nigel Genis,Kornelia Horvath,Denis Khoroshko,Shaz Lancaster,Jim Lawrence,Barrie Martin,Stuart Matthews,Matthew David McCarthy,George Newton,Jack Philips,Fabio Vollono,Julie Vollono,Vic Waghorn","PADDINGTON"
"561","tt0067992",31.7395833333333,9,2900000,"Fantasy,Family",0.49645,1971-06-29,4000000,100,"English,Français,Deutsch",7.1,351,"Mel Stuart","","chocolate,factory worker,candy,tv addicted person,overweight child,grandfather grandson relationship,factory,singles,teacher","Nominated for 1 Oscar. Another 1 win & 1 nomination.",NA,7.8,"127,075",7.7,3.6,876670,37,33,4,86,89,"Gene Wilder,Jack Albertson,Peter Ostrum,Roy Kinnear,Julie Dawn Cole,Leonard Stone,Denise Nickerson,Nora Denney,Paris Themmen,Ursula Reit,Diana Sowle,Aubrey Woods,David Battley,Peter Capell,Pat Coombs,Günter Meisner","WILLY WONKA AND THE CHOCOLATE"
"562","tt0067992",31.7395833333333,9,2900000,"Fantasy,Family",0.49645,1971-06-29,4000000,100,"English,Français,Deutsch",7.1,351,"Mel Stuart","","chocolate,factory worker,candy,tv addicted person,overweight child,grandfather grandson relationship,factory,singles,teacher","Nominated for 1 Oscar. Another 1 win & 1 nomination.",NA,7.8,"127,075",7.7,3.6,876670,37,33,4,86,89,"Gene Wilder,Jack Albertson,Peter Ostrum,Roy Kinnear,Julie Dawn Cole,Leonard Stone,Denise Nickerson,Nora Denney,Paris Themmen,Ursula Reit,Diana Sowle,Aubrey Woods,David Battley,Peter Capell,Pat Coombs,Günter Meisner","WILLY WONKA"
"563","tt0067992",31.7395833333333,9,2900000,"Fantasy,Family",0.49645,1971-06-29,4000000,100,"English,Français,Deutsch",7.1,351,"Mel Stuart","","chocolate,factory worker,candy,tv addicted person,overweight child,grandfather grandson relationship,factory,singles,teacher","Nominated for 1 Oscar. Another 1 win & 1 nomination.",NA,7.8,"127,075",7.7,3.6,876670,37,33,4,86,89,"Gene Wilder,Jack Albertson,Peter Ostrum,Roy Kinnear,Julie Dawn Cole,Leonard Stone,Denise Nickerson,Nora Denney,Paris Themmen,Ursula Reit,Diana Sowle,Aubrey Woods,David Battley,Peter Capell,Pat Coombs,Günter Meisner","Willy Wonka & the Chocolate Factory"
"564","tt1535108",31.7410714285714,14,115000000,"Science Fiction,Action,Drama,Thriller",1.949504,2013-08-07,286140700,109,"English",6.5,2150,"Neill Blomkamp","Neill Blomkamp","dystopia,space station,class conflict","1 win & 9 nominations.",61,6.6,"333,298",6.5,3.4,162018,232,157,75,58,68,"Matt Damon,Jodie Foster,Adam S. Gottbetter,Sharlto Copley,Alice Braga,Diego Luna,Wagner Moura,William Fichtner,Faran Tahir,Jose Pablo Cantillo,Maxwell Perry Cotton,Brandon Auret,Josh Blacker,Emma Tremblay,Adrian Holmes,Jared Keeso,Michael Shanks,Carly Pope,Ona Grauer,Terry Chen,Chris Shields,Christina Cox,Derek Gilroy,Talisa Soto,Claire Smithies","ELYSIUM"
"565","tt0071853",31.75,1,400000,"Adventure,Comedy,Fantasy",0.844073,1975-03-13,5028948,91,"Français,Latin,English",7.6,891,"Terry Gilliam,Terry Jones","Graham Chapman,John Cleese,Eric Idle,Terry Gilliam,Terry Jones,Michael Palin","holy grail,monk,scotland yard,swordplay,camelot,round table,chapter,aggression by animal,king arthur,wedding reception,midnight movie,knights,monty python,knights of the round table","2 wins & 2 nominations.",90,8.3,"377,917",8.5,4.1,643114,71,69,2,95,97,"Graham Chapman,John Cleese,Eric Idle,Michael Palin,Terry Gilliam,Terry Jones,Connie Booth,Carol Cleveland,Neil Innes,Bee Duffell,John Young,Rita Davies,Avril Stewart,Sally Kinghorn,Mark Zycon,Julian Doyle","MONTY PYTHON AND THE HOLY GRAIL"
"566","tt2080374",31.75,7,30000000,"History,Drama",1.867861,2015-10-09,34441873,122,"English",6.9,822,"Danny Boyle","Aaron Sorkin","biography,computer,based on true story,father daughter relationship,apple computer,steve jobs,based on true events","Nominated for 2 Oscars. Another 21 wins & 104 nominations.",82,7.2,"90,723",7.6,3.7,40839,266,228,38,74,86,"Michael Fassbender,Kate Winslet,Seth Rogen,Katherine Waterston,Jeff Daniels,Michael Stuhlbarg,Makenzie Moss,Sarah Snook,Adam Shapiro,John Ortiz,Perla Haney-Jardine,Steven Wiig,Apeksha Pradhan,Diogo Hausen,Lana Palmer,Ripley Sobo,John Steen,Stan Roth,Mihran Slougian","STEVE JOBS"
"567","tt0077631",31.8,5,6000000,"Music",0.788565,1978-07-07,181813770,110,"English",6.9,654,"Randal Kleiser","","flying car,street gang,running,graduation,musical,rival,gossip,lifting someone into the air,makeover,based on stage musical,automobile racing,nostalgic,greaser,wolf whistle,school dance,animated credits,ferris wheel,pep rally,wrong side of the tracks,mooning,spandex disco jeans,school principal,los angeles storm drain","Nominated for 1 Oscar. Another 3 wins & 7 nominations.",70,7.2,"167,448",6.6,3.7,1160054,60,46,14,87,77,"John Travolta,Olivia Newton-John,Stockard Channing,Jeff Conaway,Didi Conn,Barry Pearl,Michael Tucci,Kelly Ward,Jamie Donnelly,Dinah Manoff,Eve Arden,Edd Byrnes,Sid Caesar,Dody Goodman,Susan Buckner,Ellen Travolta,Annette Charles,Dennis Stewart,Joan Blondell,Eddie Deezen,Fannie Flagg,Lorenzo Lamas","GREASE"
"568","tt1951266",31.84765625,17,160000000,"War,Adventure,Science Fiction",4.943944,2015-11-18,639827109,136,"English",6.6,1914,"Francis Lawrence","","revolution,strong woman,dystopia,game of death,3d,mockingjay,hunger games","11 wins & 18 nominations.",65,6.6,"154,522",6.5,3.6,200161,243,171,72,66,70,"Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,Julianne Moore,Philip Seymour Hoffman,Jeffrey Wright,Stanley Tucci,Donald Sutherland,Willow Shields,Sam Claflin,Jena Malone,Mahershala Ali,Wes Chatham,Natalie Dormer,Elden Henson,Evan Ross,Patina Miller,Paula Malcomson,Stef Dawson,Meta Golding,Gwendoline Christie,Robert Knepper,Omid Abtahi,Eugenie Bondurant,Sarita Choudhury,Brandon Cyrus,Michelle Forbes,Thomas Blake Jr.,Linds Edwards,Gary Sievers","HUNGAR GAME MJ PART 2"
