imdb_id,name,imdb_id,tmdb_id,budget,genres,tmdb_popularity,release_date,revenue,runtime,languages,tmdb_rating,tmdb_votes,directors,writers,keywords,awards,metascore,imdb_rating,imdb_votes,tomato_critic_rating,tomato_user_rating,tomato_user_votes,tomato_critic_votes,tomato_fresh_reviews,tomato_rotten_reviews,tomato_user_meter,tomato_critic_meter,actors
tt0048215,IT CAME FROM BENEATH THE SEA,tt0048215,29959,0,"Horror,Science Fiction",0.002969,1955-07-01,0,79,English,4.5,4,Robert Gordon,,"submarine,san francisco,radiation,octopus,water monster,stop motion animation,babe scientist,scientist,animal horror",N/A,N/A,5.9,"3,330",6.0,3.1,2009,8,5,3,39.0,63.0,"Kenneth Tobey,Faith Domergue,Donald Curtis,Ian Keith,Dean Maddox Jr.,Chuck Griffiths,Harry Lauter,Richard W. Peterson"
tt0048554,REVENGE OF THE CREATURE,tt0048554,40761,0,"Horror,Science Fiction",0.267885,1955-07-22,0,82,English,5.5,11,Jack Arnold,,"ocean,florida,monster,aquarium,panic,marine biologist,amazon,sequel,creature,scientist,underwater,flipping car,sea monster,lagoon,3d,amazon river",N/A,N/A,5.5,"3,707",3.1,2.9,1578,8,2,6,32.0,25.0,"John Agar,Lori Nelson,John Bromfield,Nestor Paiva,Grandon Rhodes,Dave Willock,Robert Williams,Charles Cane,Clint Eastwood,Brett Halsey"
tt0049408,THE KING AND I,tt0049408,16520,4550000,"Music,Drama,Family,Romance",0.255334,1956-06-29,21300000,133,"English,ภาษาไทย",6.6,34,Walter Lang,,"temple,prime minister,letter,palace,widow,musical,buddha,siamese twins,polygamy,misunderstanding,single mother,tutor,chopsticks,lifting someone into the air,uncle tom's cabin,chakri dynasty,school teacher,based on stage musical,tony award source,barge,inter cultural,sailing ship,pagoda,consort,bangkok thailand,dowry,malaria",Won 5 Oscars. Another 5 wins & 11 nominations.,N/A,7.5,"18,940",8.2,3.6,60832,25,24,1,83.0,96.0,"Deborah Kerr,Yul Brynner,Rita Moreno,Martin Benson,Terry Saunders,Rex Thompson,Carlos Rivas,Patrick Adiarte,Alan Mowbray,Geoffrey Toone,Charles Irwin"
tt0050084,20 MILLION MILES TO EARTH,tt0050084,15096,0,Science Fiction,0.071484,1957-02-08,0,82,English,6.1,7,Nathan H. Juran,,"italy,rome,helicopter,monster,elephant,space travel,space,stop motion animation,diver,military,venus the planet,venusian",N/A,N/A,6.4,"4,469",5.9,3.3,2895,10,8,2,56.0,80.0,"William Hopper,Joan Taylor,Frank Puglia,John Zaremba,Thomas Browne Henry,Tito Vuolo,Jan Arvan,Arthur Space,Bart Braverman,George Khoury,Darlene Fields,James Dime,Sid Cassel,Ray Harryhausen"
tt0050908,ROCK BABY ROCK IT,tt0050908,43235,0,Crime,0.000151,1957-01-01,0,84,English,0.0,0,Murray Douglas Sporup,,"musical,rock music",N/A,N/A,5.1,57,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A,"Johnny Carroll,Don Coats,Preacher Smith,Rosco Gordon,Kay Wheeler"
tt0051036,SWEET SMELL OF SUCCESS,tt0051036,976,0,Drama,0.140592,1957-06-27,0,96,English,7.0,17,Alexander Mackendrick,,"new york,newspaper,brother sister relationship,jazz musician,media tycoon,film noir",Nominated for 1 BAFTA Film Award. Another 3 wins & 2 nominations.,100,8.2,"19,697",8.8,4.1,6698,47,46,1,92.0,98.0,"Burt Lancaster,Tony Curtis,Susan Harrison,Martin Milner,Sam Levene,Barbara Nichols,Jeff Donnell,Edith Atwater,Joe Frisco,Emile Meyer,Bess Flowers"
tt0051337,7TH VOYAGE OF SINBAD,tt0051337,15515,650000,"Action,Adventure,Family,Fantasy",0.333272,1958-12-05,0,88,English,6.2,16,Nathan H. Juran,Ken Kolb,"island,lamp,sinbad,escape,magician",1 win & 2 nominations.,N/A,7.2,"8,380",7.6,3.5,8668,14,14,0,77.0,100.0,"Kerwin Mathews,Kathryn Grant,Torin Thatcher,Richard Eyer,Alec Mango,Danny Green,Harold Kasket,Alfred Brown,Nana DeHerrera,Nino Falanga,Luis Guedes,Virgílio Teixeira"
tt0051554,HORROR OF DRACULA,tt0051554,11868,0,Horror,0.468572,1958-05-08,0,82,English,6.8,38,Terence Fisher,,"london,transylvania,vampire,dracula,victim,hammer horror",1 nomination.,N/A,7.4,"15,152",7.8,3.7,10715,32,29,3,80.0,91.0,"Peter Cushing,Christopher Lee,Michael Gough,Melissa Stribling,Carol Marsh,Olga Dickie,John Van Eyssen,Valerie Gaunt,Janina Faye,Barbara Archer,Charles Lloyd Pack,George Merritt,George Woodbridge"
tt0051818,KING CREOLE,tt0051818,18644,0,"Drama,Action,Music,Romance",0.144572,1958-07-02,0,116,English,6.3,10,Michael Curtiz,,"nightclub,musical,crime boss,singer",N/A,N/A,7,"3,241",6.8,3.6,7127,20,20,0,83.0,100.0,"Elvis Presley,Carolyn Jones,Walter Matthau,Dolores Hart,Dean Jagger,Liliane Montevecchi,Vic Morrow,Paul Stewart,Jan Shepard,Brian G. Hutton"
tt0052104,QUEEN OF OUTER SPACE,tt0052104,43135,0,"Adventure,Science Fiction,Fantasy",0.000922,1958-09-08,0,80,English,4.3,2,Edward Bernds,,"satire,b movie,camp,outer space,space station,planet of women,venus",N/A,N/A,4.5,"1,242",4.2,2.7,524,11,2,9,22.0,18.0,"Zsa Zsa Gábor,Eric Fleming,Dave Willock,Laurie Mitchell,Lisa Davis,Paul Birch,Patrick Waltz,Barbara Darrow,Marilyn Buferd,Mary Ford,Marya Stevens,Laura Mason,Lynn Cartwright,Kathy Marlowe,Coleen Drake,Joi Lansing"
