"date" "temp" "hum" "rain"
"95" "2014-06-08" 52.2736842105263 32.4210526315789 0
"96" "2015-06-27" 50.9631578947368 46.3684210526316 0
"97" "2015-06-28" 56.4736842105263 56.4210526315789 0
"98" "2016-01-16" 54.8789473684211 85.4210526315789 1
"99" "2016-01-17" 51.6684210526316 81.4736842105263 1
"100" "2016-01-23" 37.7315789473684 52.6315789473684 1
"101" "2013-09-14" 53.1842105263158 77.7368421052632 0
"102" "2014-02-15" 39.7052631578947 53.5263157894737 0
"103" "2014-02-22" 27.9368421052632 31.3684210526316 0
"104" "2014-04-19" 41.2947368421053 46 0
"105" "2014-04-20" 45.1105263157895 36.6315789473684 0
"106" "2015-04-11" 42.6210526315789 42.9473684210526 0
"107" "2015-04-12" 44.4210526315789 38.8421052631579 0
